fuel_type,plant_age_years,efficiency_percent,capacity_factor_percent,load_factor,weather_impact_factor,maintenance_factor,region,grid_demand_mw,operating_temp_celsius,distance_to_grid_km,electricity_generated_mwh,co2_emissions_tonnes
Nuclear,25.9,36.54,85.72,0.331,1.0,1.0,North,4426.28,12.2,91.6,8073.51,249.14
Coal,37.1,36.71,69.2,0.891,1.0,1.0,South,7021.78,34.0,48.6,7040.06,11950.5
Wind,21.7,24.02,45.67,0.677,1.048,1.0,Central,6301.65,11.5,3.4,77.73,2.17
Wind,1.8,37.19,30.86,0.636,1.211,1.0,West,2477.27,16.3,11.9,737.62,10.05
Natural_Gas,12.2,44.23,59.48,0.569,1.0,1.0,West,5351.32,9.7,98.3,4538.55,2135.15
Wind,39.6,31.47,35.43,0.581,0.929,1.0,South,5895.96,20.0,4.6,649.66,15.71
Biomass,25.6,24.16,27.5,0.718,1.0,1.0,East,7130.76,16.7,81.8,1170.06,756.71
Coal,9.7,42.97,61.6,0.914,1.0,1.0,West,5247.05,24.7,85.4,12723.94,13422.93
Coal,29.7,29.5,61.47,0.304,1.0,1.0,South,5826.6,25.4,90.7,4263.17,8483.92
Natural_Gas,26.8,50.89,62.36,0.908,1.0,1.0,East,7596.98,32.2,83.9,8233.97,3653.49
Nuclear,30.4,34.23,85.73,0.535,1.0,1.0,South,5627.38,22.7,29.4,12127.69,408.5
Oil,39.3,31.49,59.68,0.846,1.0,1.0,South,8244.88,22.6,39.8,2427.4,3902.94
Coal,7.8,37.23,63.96,0.796,1.0,1.0,South,8030.6,7.9,7.5,12599.7,15138.81
Hydroelectric,15.5,88.21,60.17,0.372,0.993,1.0,Central,3468.15,27.4,65.8,1802.08,29.64
Natural_Gas,38.1,43.23,58.28,0.747,1.0,1.0,North,5949.9,19.3,32.8,3000.56,1542.38
Nuclear,34.9,32.44,93.6,0.63,1.0,1.0,West,5404.5,32.1,84.6,8010.21,282.79
Hydroelectric,25.4,89.47,48.65,0.382,1.216,1.0,West,5548.26,19.3,65.5,1477.2,23.12
Natural_Gas,24.0,48.41,58.22,0.776,1.0,1.0,East,3233.16,29.3,78.2,3331.18,1568.19
Coal,10.4,38.62,69.77,0.792,1.0,1.0,South,5312.57,22.5,4.3,6760.37,7485.95
Coal,16.5,31.81,79.89,0.44,1.0,1.0,North,5934.96,33.8,62.0,5024.19,8292.08
Oil,37.9,36.22,58.39,0.729,1.0,1.0,East,5171.8,23.0,64.7,2421.8,3353.87
Natural_Gas,29.5,44.12,55.19,0.983,1.0,1.0,Central,5636.25,36.3,50.3,8640.15,4529.4
Natural_Gas,39.9,48.35,61.8,0.44,1.0,1.0,Central,2982.97,21.6,96.1,1391.38,721.37
Natural_Gas,34.0,52.27,60.43,0.68,1.0,1.0,North,7370.35,20.4,49.2,4640.72,2301.98
Wind,11.8,38.07,36.43,0.447,1.221,1.0,East,7070.14,38.9,60.6,436.68,6.96
Oil,17.1,29.1,38.96,0.368,1.0,1.0,North,3971.39,11.7,40.5,767.93,1125.69
Wind,1.4,43.09,23.75,0.464,0.917,1.0,South,7926.55,23.4,59.2,372.91,4.72
Solar,10.8,12.0,16.82,0.673,1.181,1.0,West,6642.18,40.8,4.4,137.18,34.16
Geothermal,5.8,11.97,52.86,0.782,1.0,1.0,South,3658.16,29.5,86.9,4272.6,665.47
Natural_Gas,27.0,58.33,44.4,0.441,1.0,1.0,South,5899.99,20.4,96.4,47.03,17.94
Natural_Gas,26.8,47.56,62.76,0.838,1.0,1.0,North,5250.15,36.9,22.4,3549.45,1755.0
Nuclear,5.2,31.06,83.74,0.848,1.0,1.0,North,5453.6,34.0,87.9,21976.61,601.31
Natural_Gas,34.9,40.31,39.89,0.741,1.0,1.0,Central,6746.65,3.4,60.1,2641.25,1636.69
Natural_Gas,23.9,48.41,44.26,0.832,1.0,1.0,Central,5088.71,20.5,34.8,2998.18,1425.27
Natural_Gas,16.6,56.29,80.76,0.869,1.0,1.0,East,5845.86,25.9,43.7,6671.2,2579.45
Wind,8.7,35.93,34.24,0.416,1.069,1.0,Central,8520.57,38.9,31.8,148.79,2.53
Oil,17.1,38.84,47.61,0.777,1.0,1.0,Central,4128.15,19.3,91.9,896.82,892.54
Natural_Gas,4.4,50.48,44.97,0.302,1.0,1.0,Central,5102.71,29.0,22.0,1647.26,621.27
Oil,36.1,31.0,39.61,0.846,1.0,1.0,East,5653.33,30.9,15.8,2533.77,3987.56
Natural_Gas,7.0,50.09,95.0,0.425,1.0,1.0,East,2161.72,47.1,24.0,5194.72,2126.36
Natural_Gas,39.5,54.62,48.42,0.583,1.0,1.0,North,5853.47,21.2,9.5,2590.21,1289.02
Wind,8.5,29.43,30.31,0.663,0.97,0.95,Central,5294.25,31.3,68.3,399.52,7.78
Coal,18.8,25.96,69.88,0.533,1.0,1.0,South,5170.1,31.3,54.0,2979.51,5730.55
Coal,14.6,34.81,76.09,0.949,1.0,1.0,West,6297.98,32.7,10.2,22097.74,32057.74
Natural_Gas,31.7,49.73,41.43,0.344,1.0,1.0,South,5037.28,9.6,35.3,578.2,265.92
Coal,11.9,34.82,64.69,0.702,1.0,1.0,West,5122.74,34.2,86.9,13007.61,18092.85
Hydroelectric,31.8,84.82,32.18,0.786,0.947,1.0,West,6068.41,17.8,32.1,983.54,17.93
Oil,6.4,37.99,57.65,0.385,1.0,1.0,West,6496.72,25.5,43.8,2467.59,2543.06
Natural_Gas,5.1,47.95,69.0,0.734,1.0,1.0,East,6715.98,19.4,49.0,121.5,42.52
Hydroelectric,25.2,82.21,39.36,0.424,1.128,1.0,North,5240.86,29.4,31.3,632.59,11.63
Oil,21.6,32.29,48.07,0.436,1.0,1.0,West,6484.05,24.3,39.3,1605.86,2015.77
Biomass,17.3,22.87,70.51,0.777,1.0,1.0,Central,3508.84,5.4,84.6,1883.32,1228.57
Coal,20.0,29.9,68.27,0.563,1.0,1.0,South,7567.56,27.1,95.6,13085.02,23493.19
Hydroelectric,18.1,86.19,42.68,0.327,0.987,1.0,South,6382.02,3.4,23.5,1038.29,16.51
Wind,5.1,34.04,37.07,0.333,1.164,1.0,North,5863.05,15.3,35.6,519.93,8.41
Hydroelectric,7.8,91.4,39.38,0.835,1.149,1.0,South,3864.81,16.2,7.9,864.64,11.32
Biomass,13.6,23.34,33.99,0.38,1.0,1.0,West,5344.93,22.6,55.5,917.82,564.12
Natural_Gas,7.4,49.87,59.31,0.309,1.0,1.0,South,8064.48,27.7,84.8,1073.77,433.92
Solar,19.0,16.64,28.67,0.844,0.844,1.0,East,5754.35,7.8,73.1,695.26,134.77
Coal,38.6,29.56,69.6,0.54,1.0,1.0,Central,5361.13,30.7,69.2,5583.58,13074.9
Wind,25.8,31.51,33.0,0.473,0.997,1.0,North,3716.73,28.4,31.8,44.64,0.96
Nuclear,32.8,36.25,88.43,0.667,1.0,1.0,South,1680.16,13.9,15.7,14792.27,430.3
Natural_Gas,29.2,41.25,73.99,0.574,1.0,1.0,Central,4375.71,34.8,51.5,2411.5,1280.95
Nuclear,5.1,32.71,84.9,0.72,1.0,1.0,West,4000.22,38.1,8.6,10603.89,289.97
Coal,28.6,30.37,84.78,0.608,1.0,1.0,North,3735.11,29.8,73.8,14040.8,25923.2
Geothermal,37.4,11.9,68.32,0.383,1.0,1.0,West,5873.15,5.6,59.2,398.29,88.63
Coal,2.0,31.56,52.32,0.509,1.0,1.0,South,4382.87,18.1,48.6,2408.29,3541.63
Natural_Gas,37.6,51.83,61.5,0.305,1.0,0.95,West,5218.94,15.0,92.3,42.75,20.7
Natural_Gas,31.7,43.84,63.68,0.6,1.0,1.0,West,5260.87,26.3,56.6,1918.91,1028.0
Natural_Gas,13.3,48.39,71.8,0.684,1.0,1.0,Central,3663.3,19.0,26.8,3561.29,1479.38
Nuclear,23.0,33.33,84.82,0.726,1.0,1.0,North,3765.32,29.7,98.1,6899.89,215.04
Coal,16.8,38.06,91.74,0.458,1.0,1.0,South,6410.48,34.0,46.8,13868.44,19358.35
Natural_Gas,3.4,58.62,60.86,0.621,1.0,0.95,North,4031.05,20.2,75.9,4516.92,1373.07
Natural_Gas,9.0,49.04,64.76,0.84,1.0,0.95,North,4952.12,18.0,29.0,2597.69,1000.62
Natural_Gas,18.6,50.13,56.92,0.609,1.0,1.0,West,2253.85,28.6,63.8,2464.23,1058.16
Hydroelectric,16.4,90.26,57.27,0.855,0.873,1.0,East,6183.35,25.3,60.2,3457.16,50.94
Coal,15.2,36.96,80.03,0.977,1.0,1.0,North,4058.13,39.1,96.7,7792.44,10293.26
Natural_Gas,35.4,45.37,56.17,0.309,1.0,1.0,North,4214.01,29.8,12.0,780.71,403.68
Hydroelectric,39.5,88.34,33.36,0.873,0.874,1.0,South,4314.44,27.4,42.6,1078.44,19.39
Solar,29.8,15.93,34.72,0.817,0.757,1.0,East,3644.45,13.2,68.9,396.65,88.05
Coal,7.8,34.06,64.91,0.75,1.0,1.0,North,6166.3,12.9,7.8,13509.93,17966.04
Hydroelectric,36.2,86.2,41.09,0.341,1.042,1.0,East,6119.84,26.5,45.3,1213.31,22.2
Natural_Gas,15.8,50.65,58.64,0.818,1.0,1.0,North,5769.66,32.4,2.8,4928.89,1959.1
Biomass,29.3,23.68,59.89,0.379,1.0,1.0,Central,4420.28,22.8,5.6,1424.03,1023.19
Natural_Gas,3.9,49.44,46.71,0.719,1.0,0.95,West,5642.47,34.0,19.3,4335.07,1692.3
Coal,10.3,36.5,60.73,0.366,1.0,1.0,West,5357.55,27.4,91.2,4606.77,6093.95
Natural_Gas,7.4,49.47,55.93,0.748,1.0,1.0,West,4630.91,46.7,95.1,3234.56,1192.86
Oil,30.0,42.09,48.42,0.553,1.0,1.0,South,4723.47,28.0,47.5,1172.79,1266.47
Natural_Gas,19.3,43.97,20.53,0.714,1.0,1.0,North,6626.72,29.8,30.1,3021.11,1416.12
Solar,16.5,17.49,23.4,0.655,0.881,1.0,Central,4559.69,32.6,17.4,766.6,139.8
Natural_Gas,29.5,49.62,72.62,0.508,1.0,1.0,West,3251.84,26.5,26.5,3385.27,1563.78
Coal,5.5,35.48,47.91,0.558,1.0,1.0,West,6379.62,8.3,75.2,8240.85,10866.33
Natural_Gas,26.2,50.42,60.83,0.397,1.0,1.0,West,8820.25,14.3,74.4,1280.26,600.82
Natural_Gas,21.8,48.9,58.46,0.58,1.0,1.0,North,4738.04,35.5,41.0,4161.07,1728.35
Coal,22.2,35.67,64.38,0.615,1.0,1.0,North,3007.09,18.1,58.6,6646.91,9076.61
Natural_Gas,27.8,47.37,53.84,0.601,1.0,1.0,North,3553.39,25.5,64.1,5572.35,2646.08
Natural_Gas,3.8,42.96,74.47,0.555,1.0,1.0,West,7423.37,26.4,17.6,3649.23,1517.86
Biomass,4.9,21.27,28.24,0.519,1.0,1.0,Central,5841.38,32.0,60.7,311.49,197.58
Hydroelectric,39.4,78.47,57.93,0.408,0.694,1.0,South,4225.64,20.7,82.9,655.97,13.61
Nuclear,7.9,38.48,88.17,0.681,1.0,1.0,Central,4236.92,15.8,49.4,15947.39,421.95
Natural_Gas,25.2,52.46,40.86,0.328,1.0,1.0,West,7496.66,19.1,4.8,1992.67,946.28
Nuclear,22.4,30.45,82.38,0.979,1.0,1.0,South,4943.96,28.9,86.5,3301.91,110.13
Natural_Gas,8.9,45.39,80.62,0.658,1.0,1.0,South,5804.59,3.0,60.6,1405.13,612.34
Natural_Gas,32.5,47.23,39.23,0.468,1.0,1.0,East,6444.63,-4.4,63.0,253.56,133.36
Solar,27.8,17.96,30.51,0.394,0.854,1.0,East,2930.57,30.1,30.2,244.18,50.83
Coal,29.9,34.4,64.06,0.838,1.0,1.0,North,5527.17,24.7,8.7,13113.76,22387.8
Natural_Gas,16.9,46.64,61.6,0.963,1.0,0.95,Central,4797.85,28.4,84.4,3025.85,1268.86
Coal,28.7,29.71,76.36,0.904,1.0,1.0,East,5089.33,26.7,22.7,7461.87,13547.19
Coal,9.4,37.55,75.98,0.907,1.0,1.0,West,3725.92,26.9,68.6,19195.7,23064.5
Coal,32.4,35.56,95.0,0.4,1.0,1.0,South,3315.41,15.4,40.8,9603.78,15744.46
Coal,8.4,38.14,78.85,0.708,1.0,1.0,Central,5313.6,14.5,86.8,14486.14,18058.24
Natural_Gas,37.5,41.18,65.13,0.33,1.0,1.0,West,7134.12,34.7,96.6,124.1,80.0
Hydroelectric,38.1,85.14,53.05,0.751,0.957,0.95,Central,1362.18,24.3,12.0,2813.68,53.3
Oil,31.1,32.9,74.32,0.56,1.0,1.0,North,4067.56,32.6,4.6,3107.3,4508.75
Natural_Gas,19.3,45.44,62.31,0.33,1.0,1.0,North,5061.38,32.4,2.5,2111.31,971.21
Natural_Gas,14.2,42.65,71.68,0.717,1.0,0.95,East,1385.17,19.5,46.0,3482.67,1774.55
Natural_Gas,34.4,44.02,62.04,0.568,1.0,1.0,Central,6471.28,3.4,37.8,2634.29,1397.3
Coal,12.7,34.33,71.73,0.846,1.0,1.0,East,5365.93,23.2,23.6,12772.49,17628.78
Coal,19.5,32.77,72.31,0.974,1.0,0.95,North,5993.72,33.3,84.9,20896.44,30868.3
Natural_Gas,11.8,49.64,76.84,0.963,1.0,1.0,West,5776.32,25.6,69.3,7999.79,3015.97
Nuclear,10.0,34.12,82.28,0.511,1.0,1.0,Central,5981.98,27.8,18.9,8063.5,227.94
Natural_Gas,22.9,49.79,64.52,0.396,1.0,1.0,South,6031.95,30.9,96.1,4375.38,1937.66
Coal,18.0,33.15,71.57,0.736,1.0,1.0,West,5802.71,38.6,40.1,4050.64,6491.61
Biomass,38.7,23.64,39.06,0.462,1.0,1.0,North,6571.87,13.0,77.4,435.71,339.52
Natural_Gas,9.9,45.88,69.07,0.525,1.0,1.0,East,3732.93,33.8,1.0,4558.96,1897.3
Solar,7.0,26.86,36.28,0.364,0.954,0.95,East,5150.78,36.9,25.8,255.62,29.34
Natural_Gas,15.0,46.33,60.21,0.455,1.0,0.95,South,3569.09,32.1,43.7,1757.15,752.11
Nuclear,13.7,36.33,85.87,0.601,1.0,1.0,South,4716.32,23.7,50.3,2724.72,76.87
Coal,24.1,28.89,66.34,0.35,1.0,0.95,East,5665.82,27.0,81.3,6631.31,11142.35
Wind,31.1,26.78,38.38,0.913,0.733,1.0,Central,5479.48,2.9,53.7,997.78,27.18
Natural_Gas,29.2,44.26,51.18,0.307,1.0,1.0,East,6660.49,14.2,76.1,1377.77,709.98
Oil,35.9,34.16,40.75,0.536,1.0,1.0,West,4435.74,7.8,66.4,1998.56,3017.84
Coal,7.5,36.23,84.02,0.967,1.0,0.95,North,5713.05,15.8,56.4,24822.11,30991.48
Hydroelectric,28.6,83.16,45.88,0.388,1.033,1.0,North,6258.41,19.4,34.2,1027.42,18.66
Biomass,34.4,26.61,59.5,0.647,1.0,1.0,West,5131.95,33.5,39.1,831.93,560.87
Coal,28.5,31.47,83.2,0.977,1.0,0.95,North,4728.86,29.2,81.1,6386.51,9965.91
Nuclear,25.4,32.24,81.09,0.519,1.0,1.0,South,5004.14,18.6,29.5,7162.5,242.68
Natural_Gas,14.0,42.79,83.01,0.348,1.0,1.0,South,7720.02,20.7,38.0,4503.94,2138.01
Solar,26.0,23.65,23.2,0.826,0.801,1.0,Central,5636.71,29.0,11.2,338.23,47.86
Natural_Gas,39.2,42.55,39.8,0.664,1.0,0.95,East,5561.72,10.5,27.6,2358.32,1373.12
Natural_Gas,24.5,47.59,62.79,0.364,1.0,1.0,West,5171.93,38.7,38.0,2424.31,1115.8
Natural_Gas,18.6,54.24,35.28,0.301,1.0,1.0,East,5254.16,27.8,59.2,1508.58,603.6
Nuclear,1.6,34.86,87.57,0.615,1.0,1.0,West,6136.86,16.7,66.8,6989.95,188.04
Natural_Gas,30.0,48.54,63.91,0.659,1.0,1.0,East,5445.69,38.8,64.1,5452.97,2839.3
Coal,8.8,35.63,75.68,0.31,1.0,1.0,North,4630.54,10.9,60.1,3650.37,5207.69
Natural_Gas,15.5,50.09,57.99,0.498,1.0,1.0,East,1388.98,31.8,74.1,2258.29,1012.86
Natural_Gas,36.9,46.6,95.0,0.488,1.0,1.0,Central,6660.45,46.4,25.6,4040.43,2227.17
Nuclear,17.7,35.68,82.25,0.611,1.0,0.95,West,6289.38,41.3,47.5,6583.74,171.35
Coal,28.8,29.36,68.46,0.947,1.0,1.0,Central,6185.56,30.7,11.9,9267.66,17561.63
Natural_Gas,13.1,45.67,27.83,0.548,1.0,1.0,North,5799.25,30.7,81.1,2171.29,947.79
Hydroelectric,11.6,91.71,33.62,0.932,1.046,1.0,North,1765.1,4.3,42.0,483.21,6.58
Coal,17.0,26.25,84.78,0.643,1.0,1.0,Central,6463.73,12.5,9.3,9018.77,18397.13
Coal,7.5,34.26,62.2,0.456,1.0,1.0,West,4568.16,19.9,25.1,5553.99,7411.06
Natural_Gas,23.3,45.22,63.34,0.828,1.0,1.0,East,6628.89,25.0,41.8,8049.39,4064.47
Wind,25.6,29.57,27.6,0.536,1.038,1.0,South,3474.0,32.5,77.5,129.54,3.04
Biomass,31.3,25.6,36.4,0.92,1.0,1.0,South,7564.08,42.6,83.8,2498.49,1632.06
Hydroelectric,14.0,91.79,71.45,0.428,0.88,1.0,South,4904.71,25.6,7.6,1258.65,18.82
Wind,38.8,24.77,30.52,0.352,1.18,1.0,Central,4262.15,31.2,22.8,433.19,12.33
Natural_Gas,15.4,51.43,55.76,0.76,1.0,1.0,East,6665.18,21.1,63.6,2797.05,1089.06
Coal,5.0,33.65,84.35,0.665,1.0,1.0,South,1685.97,15.8,39.3,15013.57,21145.68
Nuclear,7.2,28.73,77.67,0.603,1.0,1.0,South,7796.94,24.1,71.9,5118.98,173.63
Natural_Gas,8.9,44.27,54.44,0.935,1.0,1.0,North,2891.65,27.4,44.9,1913.86,776.62
Natural_Gas,22.4,53.76,67.98,0.824,1.0,1.0,Central,4780.95,34.0,82.6,5156.4,2199.51
Coal,31.3,34.02,77.39,0.405,1.0,1.0,Central,6224.51,29.9,56.2,3118.38,5296.82
Coal,36.0,34.23,77.32,0.931,1.0,1.0,South,4296.28,17.9,10.4,7415.69,12936.68
Geothermal,13.7,17.12,34.75,0.316,1.0,1.0,East,4633.88,24.6,8.9,559.59,67.36
Natural_Gas,13.0,50.22,43.37,0.304,1.0,1.0,Central,5373.96,26.4,75.9,1415.97,620.41
Natural_Gas,28.6,41.97,70.55,0.95,1.0,1.0,Central,5238.74,47.2,44.9,6514.21,3379.36
Natural_Gas,37.7,50.92,60.09,0.883,1.0,1.0,South,4220.91,26.8,7.9,4785.34,2280.77
Natural_Gas,30.2,48.48,40.19,0.964,1.0,0.95,South,8354.43,38.3,70.3,3629.16,1735.43
Wind,16.7,43.0,25.79,0.494,1.023,1.0,East,6147.91,23.5,61.1,159.42,2.3
Wind,9.2,37.73,28.57,0.501,1.043,1.0,Central,5112.16,20.2,7.6,417.45,6.62
Biomass,37.6,21.76,38.8,0.35,1.0,1.0,South,3982.27,37.3,98.5,763.08,639.12
Coal,5.5,33.65,65.51,0.548,1.0,1.0,West,6635.65,19.4,15.5,333.92,475.85
Natural_Gas,12.8,48.88,64.23,0.396,1.0,1.0,East,4758.89,24.6,71.8,2403.51,1069.72
Natural_Gas,15.2,44.68,63.27,0.765,1.0,1.0,Central,5031.42,20.0,49.4,5085.89,2183.38
Nuclear,33.7,27.13,83.17,0.585,1.0,1.0,West,5650.82,25.4,73.9,116.72,4.31
Natural_Gas,34.9,47.53,61.43,0.496,1.0,1.0,West,5255.8,22.8,49.6,4887.6,2549.56
Natural_Gas,23.5,46.05,73.98,0.85,1.0,1.0,South,3923.12,36.8,79.8,6681.05,3108.4
Coal,27.2,28.88,66.39,0.484,1.0,0.95,South,5808.38,37.3,75.3,6291.52,12644.06
Coal,4.7,34.44,69.73,0.328,1.0,1.0,East,5438.29,2.6,76.3,954.59,1295.51
Coal,20.0,36.02,81.72,0.419,1.0,0.95,Central,4452.0,20.9,23.4,1280.15,1918.94
Nuclear,5.8,29.03,89.06,0.897,1.0,1.0,North,5973.84,18.5,47.1,24167.29,765.08
Hydroelectric,36.7,92.09,78.69,0.448,1.13,1.0,Central,6114.29,18.6,2.9,836.8,15.05
